"ABESAN COMPREHENSIVE SENIOR COLLEGE,  Abesan",State owned,Alimosho,Secondary, abesancsnrco@lagosschoolsonline.com, 08024716909  ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1026"",""Read more"")"
"ABESAN JUNIOR HIGH SCHOOL,  Abesa-Ipaja",State owned,Alimosho,Secondary, , 0802 325 2166  or  0802 302 5947,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/380"",""Read more"")"
"ABESAN JUNIOR HIGH SCHOOL, Abesan",State owned,Alimosho,Secondary, abesan2014@lagosschoolsonline.com, 08055801551,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10291"",""Read more"")"
ABESAN SENIOR HIGH SCHOOL,State owned,Alimosho,Secondary, abesansnr@lagosschoolsonline.com, 0802 313 4536,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12215"",""Read more"")"
"ABESAN SENIOR HIGH SCHOOL-1,  Abesan",State owned,Alimosho,Secondary, ,  08023134536,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1912"",""Read more"")"
"ABIBAT MOGAJI MILLENIUM SNR SEC. SCH, Iloro",State owned,Agege,Secondary, abibamogmill@lagosschoolsonline.com, 08180297367,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9514"",""Read more"")"
"ABIKS HIGH SCHOOL,  Tabon-Tabon",Privately owned,Agege,Secondary, abikshighschool@yahoo.com," 0802 313  4447,  0802 762 3260,   0802 326 7508  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2996"",""Read more"")"
"ABIOLU COMPREHENSIVE COLLEGE, Igando ",Privately owned,Alimosho,Secondary, ," 0802 342 6058,     0803 313 8984","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4657"",""Read more"")"
"ABS COLLEGE, Orile Igammu ",Privately owned,Surulere,Secondary, absinvest@yahoo.com," 0803 713 3325,  0803 337 7844,   0802 944 8604,  0809 718 7821,     01 972 0565,  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5227"",""Read more"")"
"ACCESS UNIVERSAL COLLEGE, Shasha-Akowonjo",Privately owned,Alimosho,Secondary, accessuniversalcollege2000@yahoo.com," 0802 314 3119,  0809 364 0737, 0702 692 7399, 0805 224 3855,  01-7361601","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2940"",""Read more"")"
"ADAB COMPREHENSIVE COLLEGE, Imude Shibiri",Privately owned,Ojo,Secondary, lakins2008@yahoo.com," 0708 919 7404,  0818 778 3090","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64347"",""Read more"")"
"ADAM YAKUB MEMORIAL HIGH SCHOOL,Onipetesi",Privately Owned,Agege,Secondary, adam-yakub1@yahoo.com, 0803 669 4770,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2210"",""Read more"")"
"ADE-OSHO COMPREHENSIVE COLLEGE, Bariga ",Privately owned, Shomolu,Secondary, adeoshocollege@yahoo.com," 0803 321 9670,  0803 321 9801","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4555"",""Read more"")"
"ADEBOLA BAPTIST JUNIOR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, adebolajnr@lagosschoolsonline.com," 0803 516 8610,  0705 689 3902,  0705 689 3903","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/968"",""Read more"")"
"ADEBOLA BAPTIST SENIOR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, adebolasnr@lagosschoolsonline.com," '08033951745, 07056893846","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2265"",""Read more"")"
"ADEGOKE HIGH SCHOOL, Agege",Privately owned,Agege,Secondary, , 0805 817 4407,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/76026"",""Read more"")"
"ADENIYI GOODWILL PRIVATE SECONDARY SCHOOL, Ijanikin",Privately owned,Ojo,Secondary, adeniyigoodwill@yahoo.com ," 0809 985 8434, 0802 970 9867,   0803 360 2260, 0802 909 4248, 0805 442 2544","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5755"",""Read more"")"
"ADEOLA MEMORIAL COLLEGE, Iju",Privately owned,Ifako/Ijaiye,Secondary, ," 0802 237 4343,  0802 324 2601","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10925"",""Read more"")"
"ADEOLU JUNIOR SECONDARY SCHOOL, Tolu-Apapa",State owned,Ajeromi LGA,Secondary, adeolujss-edu@lagosschoolsonline.com, '0805 342 5247,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2132"",""Read more"")"
"ADEOLU SNR SEC.SCHL, Tolu",State owned,Ajeromi LGA,Secondary, adeolusnrsec@lagosschoolsonline.com, '08028159144,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2148"",""Read more"")"
"ADEX COMPREHENSIVE COLLEGE, Ilasamaja",Privately owned, Mushin,Secondary, ," 0802 334 9131,  0803 347 7886","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6737"",""Read more"")"
"ADRAO INTERNATIONAL SCHOOL, Victoria Island",Privately owned,Eti-Osa,Secondary, adraosch63@yahoo.com," 0806 022 0048,  0808 226 0809,  0702  859  1086, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2938"",""Read more"")"
"ADTAK COLLEGE, Ori-Okuta",Privately owned,Ikorodu,Secondary, adtakschool@yahoo.com," 0818 206 3004,     0802 313 4095","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4596"",""Read more"")"
"AGANJU AKA COMMUNITY JUNIOR SECONDARY SCHOOL, Kemberi",State owned,Ojo,Secondary, edd viaganjujnr@yahoo.com, 0803 375 3007,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10352"",""Read more"")"
"AGAPE BAPTIST COLLEGE, Eric Moore Road ",Privately owned,Surulere,Secondary, , 0803 567 6262,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5710"",""Read more"")"
AGBEDE JUNIOR SECONDARY SCHOOL,State owned,Ikorodu,Secondary, agbedejuniorgrammarschool@gmail.com, 0805 839 4165,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12301"",""Read more"")"
"AGBEDE SENIOR GRAMMAR SCHOOL, Agbade",State owned,Ikorodu,Secondary, Agbedeseniorgrammarschool@yahoo.com, 08023395056,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10879"",""Read more"")"
"AGBOJU JUNIOR SECONDARY SCHOOL, Agboju",State owned,Amuwo-Odofin,Secondary, ," '08020367401, 07023097705","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/521"",""Read more"")"
"AGBOJU SENIOR SECONDARY SCHOOL, Agboju",State owned,Amuwo-Odofin,Secondary, edvagbojusnrsecschool@yahoo.com, '08033608983,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2609"",""Read more"")"
AGBOWA COMM GRAM SCH,State owned,Epe,Secondary, agbowacommsnrgram@lagosschoolsonline.com, 08028371276,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1080"",""Read more"")"
AGBOWA COMMUNITY JUNIOR GRAMMAR SCHOOL,State owned,Epe,Secondary, agbowacomjnr@lagosschoolsonline.com, 08032493291,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/566"",""Read more"")"
"AGIDINGBI JUNIOR GRAMMAR SCHOOL, Agidingbi",State owned, Ikeja,Secondary, agidingbijnr@lagosschoolsonline.com, 0802 366 0230,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1231"",""Read more"")"
AGIDINGBI JUNIOR HIGH SCHOOL,State owned, Ikeja,Secondary, , 08023193396,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/922"",""Read more"")"
"AGIDINGBI SENIOR GRAMMAR SCHOOL, Agidingbi",State owned, Ikeja,Secondary, agidingbisnr@lagosschoolsonline.com, 08037268348,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2670"",""Read more"")"
AGUDA COMMUNITY JUNIOR SECONDARY SCHOOL,State owned,Surulere,Secondary, agudacomm@lagosschoolsonline.com," '08020883801, 08113798859","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12442"",""Read more"")"
AGUDA COMMUNITY SENIOR SECONDARY SCHOOL,State owned,Surulere,Secondary, agudacomm@lagosschoolsonline.com," '08023181021, 08113798857","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12438"",""Read more"")"
AGUDA JUNIOR GRAMMAR SCHOOL,State owned,Surulere,Secondary, agudajnrgramm@lagosschoolsonline.com," '08023119557, 07056893904","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12439"",""Read more"")"
"AGUDA SENOIR GRAMMAR SCHOOL,  Aguda",State owned,Surulere,Secondary, agudaseniorgrammarschool .yahoo.com," '08023271618, 07056893848","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2151"",""Read more"")"
"AISO-OLA INTERNATIONAL SCHOOL, Iba",Privately owned,Ojo,Secondary, aisoolaschool@yahoo.com," 0802 331 8403,  0805 073 5582","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64427"",""Read more"")"
"AIYETORO SENIOR GRAMMAR SCHOOL, Ebute-Metta",State owned,Lagos-Mainland,Secondary, ayetorosnr@lagosschoolsonline.com," 0803 337 9071,  0705 689 3800","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1274"",""Read more"")"
"AJALOGUN MEMORIAL COLLEGE, Ikorodu",Privately owned,Ikorodu,Secondary, ajalogunmemorialschool@yahoo.com," 0802 305 4811,      0802 321 6131","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4895"",""Read more"")"
AJANGBADI JUNIOR HIGH SCHOOL,State owned,Ojo,Secondary, , 0803 319 3575,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12400"",""Read more"")"
"AJANGBADI SENIOR HIGH SCHOOL,  Afro-Ajangbadi ",State owned,Ojo,Secondary, ajangbadishs@lagosschoolsonline.com, '08034035889,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2349"",""Read more"")"
AJAO ESTATE JUNIOR GRAMMAR SCHOOL,State owned,Oshodi-Isolo,Secondary, ajaoestjnr@lagosschoolsonline.com, 080232004823,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/931"",""Read more"")"
"AJAO ESTATE JUNIOR HIGH SCHOOL, Anthony Village",State owned,Kosofe,Secondary, ajaojunior@lagosschoolsonline.com, 0803 379 6625,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2588"",""Read more"")"
"AJAO ESTATE SENIOR GRAMMAR SCHOOL,  Isolo",State owned,Oshodi-Isolo,Secondary, aesgsisolo@lagosschoolsonline.com, 0806 274 4213,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1872"",""Read more"")"
"AJARA COMPREHENSVE JUNIOR HIGH SCHOOL, Ajara Topa",State owned, Badagry ,Secondary, acjhseddv3@lagosschoolsonline.com, 0803 722 2380,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/543"",""Read more"")"
AJARA JUNIOR GRAMMAR SCHOOL,State owned, Badagry ,Secondary, , 0803 727 3972,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12234"",""Read more"")"
"AJARA SENIOR GRAMMAR SCHOOL, Ajara Vetho.",State owned, Badagry ,Secondary, ajarasnrgram@lagosschoolsonline.com, 0803 359 3165,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7523"",""Read more"")"
AJASA ODUALABE COMM. JNR HIGH SCH. Ajasa,State owned,Alimosho,Secondary, ajasaodualabecommjuniorhigh@yahoo.com, 0803 394 7549,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1785"",""Read more"")"
"AJAYI CROWTHER MEM. SNR GRAM SCHL I, Bariga",State owned, Shomolu,Secondary, , 0803-303-7240,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2375"",""Read more"")"
"AJAYI CROWTHER MEM. SNR GRAM. SCHL II, Bariga",State owned, Shomolu,Secondary, ajayicrowther@lagosschoolsonline.com, 0803-329-0181,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2364"",""Read more"")"
AJE COMPREHENSIVE JUNIOR HIGH SCHOOL,State owned,Lagos-Mainland,Secondary, ajecompjnrsch@lagosschoolsonline.com," 0705 689 3818,   0802 306 0776   ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/858"",""Read more"")"
AJEBO JUNIOR HIGH SCHOOL ,State owned,Epe,Secondary, ajebojunior@lagosschoolsonline.com," 0802 836 2124,08052037711","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/565"",""Read more"")"
AJEBO SENIOR HIGH SCHOOL,State owned,Epe,Secondary, ajeboseniorschool@lagosschoolsonline.com, 8088646987,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1079"",""Read more"")"
"AJEGUNLE JUNIOR HIGH SCHOOL, Kosofe",State owned,Kosofe,Secondary, ajegunlejnr@lagosschoolsonline.com, 0802 301 5551,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9779"",""Read more"")"
"AJEGUNLE SENIOR HIGH SCHOOL, Kosofe",State owned,Kosofe,Secondary, ajegunlesnr@lagosschoolsonline.com, 0802 340 0837,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9791"",""Read more"")"
"AJEROMI IFELODUN JUNIOR HIGH SCHOOL, Ajegunle",State owned,Ajeromi LGA,Secondary, ajifjuniorhigh@lagosschoolsonline.com,  08034097910,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9840"",""Read more"")"
"AJEROMI IFELODUN SNR HIGH SCHL,  Apapa",State owned,Ajeromi LGA,Secondary, ajifsnr@lagosschoolsonline.com, 08023091462,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2162"",""Read more"")"
"AJIBAY ACADEMY, Ayobo",Privately owned,Alimosho,Secondary, ajibay_academy@yahoo.com," 0803 303 0117,   0705 605 6822","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3410"",""Read more"")"
AJIGBEDA GIRLS  JUNIOR HIGH SCHOOL,State owned,Surulere,Secondary, ," '08033460102, 07056893906","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/970"",""Read more"")"
"AJIGBEDA GIRLS SENIOR HIGH SCHOOL,  Surulere",State owned,Surulere,Secondary, ajigbedasnr@lagosschoolsonline.com," 0803 326 8978  or  0705 689 3850, 0705 689 3851","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1352"",""Read more"")"
"AJOKE HIGH SCHOOL, Badagry",Privately owned, Badagry ,Secondary, ajokegroupofschools@yahoo.com," 0803 409 2403,    0703 682 9976","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10040"",""Read more"")"
AJUMONI  SENIOR  GRAMMAR SCHOOL,State owned,Oshodi-Isolo,Secondary, ajumoni54@lagosschoolsonline.com, 0802 300 3127,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1318"",""Read more"")"
AJUMONI JUNIOR GRAMMAR SCHOOL,State owned,Oshodi-Isolo,Secondary, Ajumonijgs@lagosschoolsonline.com, 08033568473,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/932"",""Read more"")"
AJUMONI JUNIOR SECONDARY SCHOOL ,State owned, Mushin,Secondary, ajmonisecsch@lagosschoolsonline.com, 0803 373 0488,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/652"",""Read more"")"
"AJUNMONI SENIOR SECONDARY SCHOOL, Mushin",State owned, Mushin,Secondary, ajumoni2014@lagosschoolsonline.com, 0802-3166-414,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1284"",""Read more"")"
"AKANDE DAHUNSI MEM. JUNIOR HIGH SCHOOL, Ikoyi",State owned,Eti-Osa,Secondary, akandedahunsijnr@lagosschoolsonline.com," 0802-320-1284,0803 410 5993","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/592"",""Read more"")"
AKANDE DAHUNSI MEM. SENIOR HIGH SCHOOL,State owned,Eti-Osa,Secondary, akandedahunsijnr@lagosschoolsonline.com, '08033790955,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12267"",""Read more"")"
"AKESAN COMMUNITY JUNIOR GRAMMAR SCHOOL, Akesan",State owned,Alimosho,Secondary, akesanjunior@lagosschoolsonline.com, 0805 865 6810,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9676"",""Read more"")"
"AKINTAN JUNIOR GRAMMAR SCHOOL, Surulere",State owned,Surulere,Secondary, akintanjnr@lagosschoolsonline.com," 0805 544 1843, 0705 689 3908 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/971"",""Read more"")"
"AKINTAN SENIOR GRAMMAR SCHOOL, Surulere",State owned,Surulere,Secondary, akitansenior@lagosschoolsonline.com, 0802 342 9058  OR  0705 689 3852,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1353"",""Read more"")"
"AKINYELE ALAKUKO JUNIOR SECONDARY SCHOOL, Alakuko",State owned,Ifako/Ijaiye,Secondary, akinyelealakukosholar@yahoo.com, 0803 329 7254,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9542"",""Read more"")"
"AKOD SCHOOLS  COLLEGE,  Ikotun",Privately owned,Alimosho,Secondary, akodcollege@yahoo.com," 0802 322 4496, 0805 544 5309","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5808"",""Read more"")"
AKOKA JUNIOR HIGH SCHOOL,State owned,Lagos-Mainland,Secondary, akokajunior@lagosschoolsonline.com," 0802 824 0790,  0705 689 3820,  0705 689 3821","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/861"",""Read more"")"
"AL AKEEDAT MODEL COLLEGE, Ikota",Privately owned,Eti-Osa,Secondary, ustazsulaiman@yahoo.com, 0802 314 1318,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5547"",""Read more"")"
"AL HALEEM COLLEGE, Ijeshatedo",Privately owned,Surulere,Secondary, alhaleem.school@yahoo.com," 0805 582 5446, 0703 542 9570, 0802 305 1147","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49007"",""Read more"")"
"AL- AZIM COLLEGE, Iju-Ishaga",Privately owned,Ifako/Ijaiye,Secondary, AL-AZIMSCHLS.COM," 0803 726 3570, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3678"",""Read more"")"
"AL-FARUQ COLLEGE, Ejigbo",Privately owned,Oshodi-Isolo,Secondary, , 01-881 7564,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3078"",""Read more"")"
"AL-HIKMAT COLLEGE, Mulero",Privately owned,Agege,Secondary, alhikmatc@yahoo.com," 0805 667 1389,  0802 321 2275","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10668"",""Read more"")"
"AL-MAALA COLLEGE, Okokomaiko",Privately owned,Ojo,Secondary, almaalacollege@yahoo.com," 0803 490 6665, 0803 300 7652","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5327"",""Read more"")"
"AL-MIYZAN COLLEGE, Ikotun ",State owned,Alimosho,Secondary, almiyzanschools@gmail.com," 0805 620 3337,  0812 687 9554","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/48819"",""Read more"")"
"ALADURA COMPREHENSIVE HIGH SCHOOL, Anthony Village",Privately owned,Kosofe,Secondary, 4chslagos@rocketmail.com," 0803 720 1301, 0809490 7063","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3147"",""Read more"")"
"ALAGBADO JUNIOR GRAMMAR SCHOOL, Alagbado ",State owned,Alimosho,Secondary, alagbadojnrsch2011@yahoo.com, 08056054939,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9670"",""Read more"")"
ALAKOTO JNR. HIGH SCHOOL. Olodi Apapa,State owned,Ajeromi LGA,Secondary, eddvi-alakotojnr@yahoo.com, 0803 328 6500,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1796"",""Read more"")"
ALAKOTO JUNIOR HIGH SCHOOL,State owned,Amuwo-Odofin,Secondary, alakotojnr@lagosschoolsonline.com, 0803 431 8559,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12230"",""Read more"")"
"ALAKOTO SENIOR HIGH SCHOOL, Tolu-Ajeromi",State owned,Ajeromi LGA,Secondary, alakotoshs@lagosschoolsonline.com, 0802 308 3014,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2141"",""Read more"")"
ALARO COMM HIGH SCH,State owned,Epe,Secondary, , 8032411937,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1081"",""Read more"")"
ALARO COMMUNITY JUNIOR HIGH SCHOOL,State owned,Epe,Secondary, alarojnrsch@lagosschoolsonline.com," 0805 470 6788,0805 645 9127","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/564"",""Read more"")"
"ALASO COMMUNITY JUNIOR GRAMMAR SCHOOL, Alaso",State owned,Alimosho,Secondary, alasocommsch@lagosschoolsonline.com," 0703 158 5628,0806 011 6616","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9697"",""Read more"")"
"ALBERT ALUKO HIGH SCHOOL, Igbogbo",Privately owned,Ikorodu,Secondary, albertalukoschools@gmail.com, 0802 224 3200,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10049"",""Read more"")"
"ALBESTA ACADEMY, Epe Express way.",Privately owned, Ibeju-Lekki,Secondary, info@albestaacademy.org," 0805 534 8898, 0805 707 0705","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4748"",""Read more"")"
"ALDAMAK NOURAN SCHOOL, Langbasa",Privately owned,Eti-Osa,Secondary, aldamakschools2005@yahoo.com," 0704 187 3285,   0803 236 6037,   0803 329 5175","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5531"",""Read more"")"
ALICE OGBARA MEMORIAL JUNIOR SEC. SCHOOL,State owned,Ojo,Secondary, aliceogbara@lagosschoolsonline.com, ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12399"",""Read more"")"
"ALIMOSHO JUNIOR GRAMMAR SCHOOL, Mosalashi",State owned,Alimosho,Secondary, alijugrams@lagosschoolsonline.com, 0805 544 0905,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9672"",""Read more"")"
"ALIMOSHO SNR GRAMMAR SCHOOL,  Alimosho",State owned,Alimosho,Secondary, alisnrgrams@lagosschoolsonline.com, 0805 354 7027,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1027"",""Read more"")"
"ALPHA COMPREHENSIVE COLLEGE, Okerube",Privately owned,Alimosho,Secondary, alphcollege@yahoo.com," 0808 614 3997,  0808 743 9365","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5179"",""Read more"")"
"ALPHA PLUS HIGH SCHOOL, Ketu",Privately owned,Kosofe,Secondary, alpha-plusschool2yahoo.com," 0803 941 8166,   0813 537 2285,  0808 436 5787,0803 716 4125","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5631"",""Read more"")"
"ALPHA REHOBOTH COLLEGE, Orisunbare-Shasha",Privately owned,Alimosho,Secondary, alpharehobothschools@yahoo.com, 0802 208 8051,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8135"",""Read more"")"
"ALTITUDE COLLEGE, Ago",Privately owned,Oshodi-Isolo,Secondary, altitudeschool@yahoo.com, 0802 351 6166  or  0800704 116 0623,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3542"",""Read more"")"
"AMAI COLLEGE, Ajangbadi",Privately owned,Ojo,Secondary, amaicollege@yahoo.com," 0808 143 4927,     0802 312 5117","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4604"",""Read more"")"
"AMBASSADOR COLLEGE, Amuwo Odofin",Privately owned,Amuwo-Odofin,Secondary, ambassadorcollege@yahoo.com," 0803 337 7062,  0806 002 6427","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8070"",""Read more"")"
